,content
493,"George,Keith and I are reviewing your proposal.  We will send you a response by thisevening.Phillip"
494,Phillip here is the information you requested.Shares  Vest date Grant Price4584  12-31-01 18.37532001600 12-31-01 20.06251600 12-31-02 20.062593683124 12-31-01 31.46883124 12-31-02 31.46883120 12-31-03 31.468851302565 1-18-02  55.502565 1-18-03  55.5071432381 8-1-01  76.002381 8-1-02  76.002381 8-1-03  76.002412 1-18-02  55.5012 1-18-03  55.50do not transmit orders and/or instructions regarding yourPaineWebber account(s) by e-mail. Orders and/or instructionstransmitted by e-mail will not be accepted by PaineWebber andPaineWebber will not be responsible for carrying out such ordersPaineWebber reserves the right to monitor and review the content ofall e-mail communications sent and/or received by its employees.
495,"Jeff,That is good news about Leander.Now for the stage.  I would like to get it sold by the end of March.   I haveabout $225K invested in the stagecoach,it looks like I need to get around $745K to breakeven.I don't need the cash out right now so if I could get a personal guaranteeand Jaques Craig canwork out the partnership transfer, I would definitely be willing to carry asecond lien.  I understand second liens are going for 10%-12%.Checkout this spreadsheet.These numbers should get the place sold in the next fifteen minutes.However,  I am very concerned about the way it is being shown.  Having Lucyshow it is not a good idea.  I need you to meet the buyers and take sometrips over to get more familar with the property.  My dad doesn't have thetime and I don't trustLucy or Wade to show it correctly.  I would prefer for you to show it fromnow on.I will have the operating statements complete through December by thisFriday.Phillip"
496,"George,Here is a spreadsheet that illustrates the payout of investment and buildersprofit.  Check my math, but it looks like all the builders profit would berecouped in the first year of operation.  At permanent financing $1.1 wouldbe paid, leaving only .3 to pay out in the 1st year.Since almost 80% of builders profit is repaid at the same time as theinvestment, I feel the 65/35 is a fair split.  However, as I mentionedearlier, I think we should negotiate to layer on additional equity to you aspart of the construction contract.Just to begin the brainstorming on what a construction agreement might look1.  Fixed construction profit of $1.4 million.  Builder doesn't benefit fromhigher cost, rather suffers as an equity holder.2.  +5% equity for meeting time and costs in original plan ($51/sq ft, phase1 complete in November)+5% equity for under budget and ahead of schedule-5% equity for over budget and behind scheduleThis way if things go according to plan the final split would be 60/40, butcould be as favorable as 55/45.  I realize that what is budget and schedulemust be discussed and agreed upon.Feel free to call me at home (713)463-8626Phillip"
497,"George,We should hear from the bank in Houston on Monday.work 713-853-7041fax 713-464-2391cell 713-410-4679home 713-463-8626pallen70@hotmail.com (home)pallen@enron.com (work)cell.work 713-853-7069fax 713-464-2391cell 713-502-9402home 713-667-5889kholst@enron.comPhillip"
498,"Dexter,You should receive a guest id shortly.Phillip"
499,"Griff,Can you accomodate Dexter as we have in the past.  This has been very helpfulin establishing a fair index at Socal Border.PhillipPlease cc me on the email with a guest password.  The sooner the better asbidweek is underway.Phillip,I was wondering if I could trouble you again for another guest id for eol.In previous months, it has helped us here at NGI when we go to set indexes.I appreciate your help on this.Dexter"
500,"It looks like a deal with the non gas fired QFs is iminent.  One for the gasgenerators is still quite a ways off.The non gas fired QFs will be getting a fixed price for 5 years and revertingback to their contracts thereafter.  They also will give backI would expect that the gas deal using an implied gas price times a heat ratewould be very very difficult to close.  Don't expect hedgers to come any timesoon.I will keep you abreast of developments.CSusan J Mara@ENRONPhillip K Allen/HOU/ECT@ECT, Alan Comnes/PDX/ECT@ECT, JeffDasovich/NA/Enron@Enron, Michael Etringer/HOU/ECT@ECT, James DSteffes/NA/Enron@Enron, Sandra McCubbin/NA/Enron@Enron, PaulKaufman/PDX/ECT@ECT, Chris H Foster/HOU/ECT@ECTRE;  Non-Gas-fired QFs -- The last e-mail I sent includes the latest versionof the IEP proposal.  Negotiations with SCE on this proposal are essentiallycomplete.  PG&E is OK with the docs.  All QFs but Calpine have agreed withthe IEP proposal -- Under the proposal, PG&E would ""retain"" $106 million (ofwhat, I'm not sure -- I think they mean a refund to PG&E from QFs whoswitched to PX pricing). The money would come from changing the basis for theQF payments from the PX price to the SRAC price, starting back in December(and maybe earlier).PG&E will not commit to a payment schedule and will not commit to take theForce Majeure notices off the table. QFs are asking IEP to attempt to getsome assurances of payment.SCE has defaulted with its QFs; PG&E has not yet -- but big payments are dueon 2/2/01.For gas-fired QFs -- Heat rate of 10.2 included in formula for PG&E'spurchases from such QFs. Two people are negotiating the these agreements(Elcantar and Bloom), but they are going very slowly. Not clear this can beresolved. Batten and Keeley are refereeing this.  No discussions on thisoccurred today.Status of legislation -- Keeley left town for the night, so not much willhappen on the QFs.Assembly and Senate realize they have to work together.Plan to meld together AB 1 with Hertzberg's new bill .  Hydro as security isdead. Republicans were very much opposed to it."
501,"Patti,This sounds like an opportunity to land a couple of analyst to fill the gapsin scheduling.  Remember their rotations last for one year.  Do you want tobe an interviewer?PhillipWalker/NA/Enron@Enron, Andrea V Reed/HOU/ECT@ECT, Katherine LKelly/HOU/ECT@ECT, Stacey W White/HOU/ECT@ECT, John Best/NA/Enron, Timothy JDetmering/HOU/ECT@ECT, Barry Tycholiz/NA/Enron@ENRON, Frank WVickers/NA/Enron@Enron, Carl Tricoli/Corp/Enron@Enron, Edward DBaughman/HOU/ECT@ECT, Larry Lawyer/NA/Enron@Enron, Jere COverdyke/HOU/ECT@ECT, Brad Blesie/Corp/Enron@ENRON, LynetteLeBlanc/Houston/Eott@Eott, Thomas Myers/HOU/ECT, Jeffrey CGossett/HOU/ECT@ECT, Maureen Raymond/HOU/ECT@ECT, Kayne Coulter/HOU/ECT@ECT,Phillip K Allen/HOU/ECT@ECT, Chris Abel/HOU/ECT@ECT, SteveVenturatos/HOU/ECT@ECT, Ben Jacoby/HOU/ECT@ECTMcConnell/HOU/ECT@ECT, Jeffrey A Shankman/HOU/ECT@ECTAll,The Analyst and Associate Programs recognize we have many Analyst needs thatneed to be addressed immediately.  While we anticipate many new Analystsjoining Enron this summer (late May) and fulltime (August) we felt itnecessary to address some of the immediate needs with an Off-Cycle Recruitingevent.  We are planning this event for Thursday, February 15 and are invitingapproximately 30 candidates to be interviewed.  I am asking that you forwardthis note to any potential interviewers (Managers or above).  We will conductfirst round interviews in the morning and the second round interviews in theafternoon.  We need for interviewers to commit either to the morning(9am-12pm) or afternoon (2pm-5pm) complete session.  Please submit yourresponse using the buttons below and update your calendar for this date.  Inaddition, we will need the groups that have current needs to commit to takingone or more of these Analysts should they be extended an offer.   Thanks inadvance for your cooperation.Thank you,Jana"
502,"Nick,There is a specific program that we are using to recruit, train, and mentornew traders on the gas and power desks.    The trading track program is beingcoordinated by Ted Bland.  I have forwarded him your resume.  Give him a calland he will fill you in on the details of the program.Phillip"
503,Enron North America Corp.
504,"Lucy,#32 and #29 are fine.#28 paid weekly on 1/5.  Then he switched to biweekly.  He should have paid260 on 1/12.  Two weeks rent in advance.  Instead he paid 260 on 1/19.  Heeither needs to get back on schedule or let him know he is paying in themiddle of his two weeks.  He is only paid one week in advance.  This is not abig deal, but you should be clear with tenants that rent is due in advance.Here is an updated rentroll.  Please use this one instead of the one I sentyou this morning.Finally, can you fax me the application and lease from #9.Phillip"
505,"Steffes/NA/Enron@Enron, Phillip K Allen/HOU/ECT@ECT, Don Black/HOU/EES@EES,James Shirley/HOU/EES@EES, Frank Ermis/HOU/ECT@ECT, Paul Kaufman/PDX/ECT@ECTEverything is short and sweet except the caption!  One comment.  The verynecessary . . . ""  SInce they haven't actually begun to divert yet, let'schange that sentence to read ""PG&E has the continuing right to physicallydivert gas if necessary...""I will send this around for comment.  Thanks for your promptness.Any comments, anyone?MBD <MDay@GMSSR.com>Here is the draft.  Short and sweet.  Let me know what you think.  We willbe ready to file on Friday.  Mike Day<<X20292.DOC>>- X20292.DOC"
506,"Lucy,Here is a rentroll for this week.  I still have questions on #28,#29, and #32."
507,"Larry,I met with a banker that is interested in financing the project.  They needFinancial statements plus last two years tax returns.Builders resume listing similar projectsThe banker indicated he could pull together a proposal by Friday.  If we areinterested in his loan, he would want to  come see the site.If you want to overnight me the documents, I will pass them along.   You cansend them to my home or office (1400 Smith, EB3210B, Houston, TX 77002).The broker is Jim Murnan.  His number is 713-781-5810, if you want to callhim and send the documents to him directly.It sounds like the attorneys are drafting the framework of the partnershipagreement.  I would like to nail down the outstanding business points as soonas possible.Please email or call with  an update.Phillip"
508,"Draft response to PGE -- do you have any comments?Travis McCulloughEnron North America Corp.1400 Smith Street EB 3817Houston Texas 77002William S BradfordWorks for me.  Have you run it by Phillip Allen?Shapiro/NA/Enron@Enron, Elizabeth Sager/HOU/ECT@ECT, James DSteffes/NA/Enron@EnronPlease call me with any comments or questions.Travis McCulloughEnron North America Corp.1400 Smith Street EB 3817Houston Texas 77002"
509,"By STEVE EVERLY - The Kansas City StarAs natural gas prices rose in December, traders at the New York MercantileExchange kept one eye on the weather forecast and another on a weekly gasstorage number.The storage figures showed utilities withdrawing huge amounts of gas, and theforecast was for frigid weather. Traders put the two together, anticipated asupply crunch and drove gas prices to record heights.""Traders do that all the time; they're looking forward,"" said William Burson,a trader. ""It makes the market for natural gas.""But the market's response perplexed Chris McGill, the American GasAssociation's director of gas supply and transportation. He had compiled thestorage numbers since they were first published in 1994, and in his view thenumbers were being misinterpreted to show a situation far bleaker thanreality.""It's a little frustrating that they don't take the time to understand whatwe are reporting,"" McGill said.As consumer outrage builds over high heating bills, the hunt for reasons --and culprits -- is on. Some within the natural gas industry are pointingfingers at Wall Street.Stephen Adik, senior vice president of the Indiana utility NiSource, recentlystepped before an industry conference and blamed the market's speculators forthe rise in gas prices.""It's my firm belief ... that today's gas prices are being manipulated,"" Adiktold the trade magazine Public Utilities Fortnightly.In California, where natural gas spikes have contributed to an electricutility crisis, six investigations are looking into the power industry.Closer to home, observers note that utilities and regulators share the blamefor this winter's startling gas bills, having failed to protect theircustomers and constituents from such price spikes.Most utilities, often with the acquiescence of regulators, failed to takeprecautions such as fixed-rate contracts and hedging -- a sort of priceinsurance -- that could have protected their customers by locking in gasprices before they soared.""We're passing on our gas costs, which we have no control over,"" said PaulSnider, a spokesman for Missouri Gas Energy.But critics say the utilities shirked their responsibility to customers.""There's been a failure of risk management by utilities, and that needs tochange,"" said Ed Krapels, director of gas power services for Energy SecurityAnalysis Inc., an energy consulting firm in Wakefield, Mass.Hot topicmany circles, little else is discussed.The Rev. Vincent Fraser of Glad Tidings Assembly of God in Kansas City isfacing a $1,456 December bill for heating the church -- more than double theprevious December's bill. Church members are suffering from higher bills aswell.The Sunday collection is down, said Fraser, who might have to forgo part ofhis salary. For the first time, the church is unable to meet its financialpledge to overseas missionaries because the money is going to heating.""It's the talk of the town here,"" he said.A year ago that wasn't a fear. Wholesale gas prices hovered just above $2 perthousand cubic feet -- a level that producers say didn't make it worthwhileto drill for gas. Utilities were even cutting the gas prices paid bycustomers.But trouble was brewing. By spring, gas prices were hitting $4 per thousandcubic feet, just as utilities were beginning to buy gas to put into storagefor winter.There was a dip in the fall, but then prices rebounded. By early November,prices were at $5 per thousand cubic feet. The federal Energy InformationAdministration was predicting sufficient but tight gas supplies and heatingbills that would be 30 percent to 40 percent higher.But $10 gas was coming. Below-normal temperatures hit much of the country,including the Kansas City area, and fears about tight supplies roiled the gasmarkets.""It's all about the weather,"" said Krapels of Energy Security Analysis.Wholesale prices exploded to $10 per thousand cubic feet, led by the New Yorktraders. Natural gas sealed its reputation as the most price-volatilecommodity in the world.Setting the priceIn the 1980s, the federal government took the caps off the wellhead price ofgas, allowing it to float. In 1990, the New York Mercantile began tradingcontracts for future delivery of natural gas, and that market soon hadwidespread influence over gas prices.The futures contracts are bought and sold for delivery of natural gas as soonas next month or as far ahead as three years. Suppliers can lock in saleprices for the gas they expect to produce. And big gas consumers, fromutilities to companies such as Farmland Industries Inc., can lock in whatthey pay for the gas they expect to use.There are also speculators who trade the futures contracts with no intentionof actually buying or selling the gas -- and often with little real knowledgeof natural gas.But if they get on the right side of a price trend, traders don't need toknow much about gas -- or whatever commodity they're trading. Like allfutures, the gas contracts are purchased on credit. That leverage adds totheir volatility and to the traders' ability to make or lose a lot of moneyin a short time.As December began, the price of natural gas on the futures market was lessthan $7 per thousand cubic feet. By the end of the month it was nearly $10.Much of the spark for the rally came from the American Gas Association'sweekly storage numbers.Utilities buy ahead and store as much as 50 percent of the gas they expect toneed in the winter.Going into the winter, the storage levels were about 5 percent less thanaverage, in part because some utilities were holding off on purchasing, inhopes that the summer's unusually high $4 to $5 prices would drop.Still, the American Gas Association offered assurances that supplies would besufficient. But when below-normal temperatures arrived in November, theconcerns increased among traders that supplies could be insufficient.Then the American Gas Association reported the lowest year-end storagenumbers since they were first published in 1994. Still, said theassociation's McGill, there was sufficient gas in storage.But some utility executives didn't share that view. William Eliason, vicepresident of Kansas Gas Service, said that if December's cold snap hadcontinued into January, there could have been a real problem meeting demand.""I was getting worried,"" he said.Then suddenly the market turned when January's weather turned warmer.Wednesday's storage numbers were better than expected, and futures pricesdropped more than $1 per thousand cubic feet.Just passing throughSome utilities said there was little else to do about the price increase butpass their fuel costs on to customers.Among area utilities, Kansas Gas Service increased its customers' cost-of-gascharge earlier this month to $8.68 per thousand cubic feet. And Missouri GasEnergy has requested an increase to $9.81, to begin Wednesday.Sheila Lumpe, chairwoman of the Missouri Public Service Commission, said lastmonth that because utilities passed along their wholesale costs, little couldbe done besides urging consumers to join a level-payment plan and to conserveenergy.Kansas Gas Service had a small hedging program in place, which is expected tosave an average customer about $25 this winter.Missouri Gas Energy has no hedging program. It waited until fall to seek anextension of the program and then decided to pass when regulators would notguarantee that it could recover its hedging costs.Now utilities are being asked to justify the decisions that have leftcustomers with such high gas bills. And regulators are being asked whetherthey should abandon the practice of letting utilities pass along their fuelcosts.On Friday, Doug Micheel, senior counsel of the Missouri Office of the PublicCounsel, said his office would ask the Missouri Public Service Commission toperform an emergency audit of Missouri Gas Energy's gas purchasing practices.""Consumers are taking all the risk,"" Micheel said. ""It's time to considersome changes.""To reach Steve Everly, call (816) 234-4455 or send e-mail toseverly@kcstar.com.--------------------------------------------------------------------------------All content , 2001 The Kansas City Star"
510,message board
511,"George,I received the drawings.  They look good at first glance.  I will look atthem in depth this weekend.  The proforma was in the winmail.dat format whichI cannot open.  Please resend in excel or a pdf format.  If you will send itto pallen70@hotmail.com, I will be able to look at it this weekend.  Doesthis file have a timeline for the investment dollars?  I just want to get afeel for when you will start needing money.Phillip"
512,need help.
513,"Jeff,Here is a recent rentroll.  I understand another looker went to theproperty.  I want to hear the feedback no matter how discouraging. I am inPortland for the rest of the week.  You can reach me on my cell phone713-410-4679.  My understanding was that you would be overnighting someclosing statements for Leander on Friday.  Please send them to my house (8855Merlin Ct, Houston, TX 77055).Call me if necessary.Phillip_________________________________________________________________- rentroll_investors_0112.xls"
514,"Larry,The wire should go out today.  I am in Portland but can be reached by cellphone 713-410-4679.  Call me if there are any issues.  I will place a call tomy attorney to check on the loan agreement.Phillip"
515,"Lucy,Why did so many tenants not pay this week?#12 95#21 240#27 120#28 260#33 260Total 975It seems these apartments just missed rent.  What is up?#9-Why didn't they pay anything?  By my records, they still owe $40 plus rentshould have been due on 12/12 of $220.#3-Why did they short pay?"
516,"McCubbin/NA/Enron@Enron, Jeff Dasovich/NA/Enron@Enron, MichaelTribolet/Corp/Enron@Enron, Vicki Sharp/HOU/EES@EES, ChristianYoder/HOU/ECT@ECT, pgboylston@stoel, Travis McCullough/HOU/ECT@ECT, DonBlack/HOU/EES@EES, Tim Belden/HOU/ECT@ECT, Phillip K Allen/HOU/ECT@ECT, WandaCurry/HOU/EES@EES, Scott Stoness/HOU/EES@EES, mday@gmssr.com, Susan JMara/NA/Enron@ENRON, robert.c.williams@enron.com, William SBradford/HOU/ECT@ECT, Paul Kaufman/PDX/ECT@ECT, Alan Comnes/PDX/ECT@ECT, MaryHain/HOU/ECT@ECT, Joe Hartsoe/Corp/Enron@ENRONEnron has agreed that the key issue is to focus on solving the S-T buyingneeds.  Attached is a spreadsheet that outlines the $ magnitude of the nextfew months.Lot's of questions about DWR becoming the  vehicle for S-T buying and thereis a significant legal risk for it becoming the vehicle.  WE DO NEEDSOMETHING TO BRIDGE BEFORE WE PUT IN L-T CONTRACTS.Huge and growing shortfall ($3.2B through March 31, 2001)The SOONER YOU CAN PUT IN L-T CONTRACTS STOP THE BLEEDING.Bankruptcy takes all authority out of the Legislature's hands.1. Energy Sales Participation Agreement During BankruptcyMichael Tribolet will be contacting John Klauberg to discuss how to organizea Participation Agreement to sell to UDCs in Bankruptcy while securing SuperPriority.2. Legislative Language for CDWR (?) Buying Short-TermSandi McCubbin / Jeff Dasovich will lead team to offer new language to meetS-T requirements of UDCs.  Key is to talk with State of California Treasurerto see if the $ can be found or provided to private firms.  ($3.5B by end ofApril).  Pat Boylston will develop ""public benefit"" language for optionsworking with Mike Day.  He can be reached at 503-294-9116 orpgboylston@stoel.com.3. Get Team to SacramentoGet with Hertzberg to discuss the options (Bev Hansen).  Explain themagnitude of the problem.  Get Mike Day to help draft language.4. See if UDCs have any ThoughtsSteve Kean will communicate with UDCs to see if they have any solutions orthougths.  Probably of limited value.5. Update ListAny new information on this should be communicated to the following people assoon as possible.  These people should update their respective business units.ENA Legal - Christian Yoder / Travis McCulloughCredit - Michael TriboletEES - Vicki Sharp / Don BlackENA - Tim Belden / Philip AllenGovt Affairs - Steve Kean / Richard Shapiro"
517,"Koenig/Corp/Enron@ENRON, Rick Buy/HOU/ECT@ECT, David W Delainey/HOU/ECT@ECT,John J Lavorato/Corp/Enron@Enron, Greg Whalley/HOU/ECT@ECT, MarkFrevert/NA/Enron@Enron, Karen S Owens@ees@EES, Thomas E White/HOU/EES@EES,Marty Sunde/HOU/EES@EES, Dan Leff/HOU/EES@EES, Scott Stoness/HOU/EES@EES,Vicki Sharp/HOU/EES@EES, William S Bradford/HOU/ECT@ECT, Phillip KAllen/HOU/ECT@ECT, Robert Badeer/HOU/ECT@ECT, Mike Grigsby/HOU/ECT@ECT, AlanComnes/PDX/ECT@ECT, Karen Denne/Corp/Enron@ENRON, Mark EHaedicke/HOU/ECT@ECT, Wanda Curry/HOU/ECT@ECT, Mary Hain/HOU/ECT@ECT, JoeHartsoe/Corp/Enron@ENRON, Sarah Novosel/Corp/Enron@ENRON, LindaRobertson/NA/Enron@ENRON, James D Steffes/NA/Enron@Enron, HarryKingerski/NA/Enron@Enron, Roger Yang/SFO/EES@EES, DennisBenevides/HOU/EES@EES, Paul Kaufman/PDX/ECT@ECT, Susan J Mara/SFO/EES@EES,Sandra McCubbin/NA/Enron@Enron, David Parquet/SF/ECT@ECT, RobertJohnston/HOU/ECT@ECT, Don Black/HOU/EES@EES, Mark Palmer/Corp/Enron@ENRON,Michael Tribolet/Corp/Enron@Enron, Greg Wolfe/HOU/ECT@ECT, ChristianYoder/HOU/ECT@ECT, Stephen Swain/PDX/ECT@ECT, Tim Belden/HOU/ECT@ECTAttached is a summary of the Jan 13 Davis-Summers summit on the California"
518,"Kristin,Thank you for the California update.  Please continue to include me in allfurther intellegence reports regarding the situation in California.Phillip"
519,"Andrea,Please resend the first three resumes.Phillip"
520,"Enron North America Corp.Phillip, attached are resumes of analysts that are up for rotation.  If youare interested, you may contact them directly., ,"
521,TIM HEIZENRADERconfidential.
522,"Paula,I looked over the plan.  It looks fine.Phillip"
523,"Jim,Here are the key gas contacts.Work   Home   CellPhillip Allen  X37041   713-463-8626  713-410-4679Mike Grigsby  X37031   713-780-1022  713-408-6256Keith Holst  X37069   713-667-5889  713-502-9402Please call me with any significant developments.Phillip"
524,"Lucy,1,2,8,12,13,16,20a,20b,25,32,38,39.Are we running an apartment complex or a motel?Please update all lease information on the 1/12 rentroll and email it to methis afternoon.Phillip"
525,"Larry,Do you want the loan and wire amount to be for exactly $1.1 million.Phillip"
526,Thanks for representing Matt.Phillip
527,"George,Here is a spreadsheet that illustrates the payout of investment and buildersprofit.  Check my math, but it looks like all the builders profit would berecouped in the first year of operation.  At permanent financing $1.1 wouldbe paid, leaving only .3 to pay out in the 1st year.Since almost 80% of builders profit is repaid at the same time as theinvestment, I feel the 65/35 is a fair split.  However, as I mentionedearlier, I think we should negotiate to layer on additional equity to you aspart of the construction contract.Just to begin the brainstorming on what a construction agreement might look1.  Fixed construction profit of $1.4 million.  Builder doesn't benefit fromhigher cost, rather suffers as an equity holder.2.  +5% equity for meeting time and costs in original plan ($51/sq ft, phase1 complete in November)+5% equity for under budget and ahead of schedule-5% equity for over budget and behind scheduleThis way if things go according to plan the final split would be 60/40, butcould be as favorable as 55/45.  I realize that what is budget and schedulemust be discussed and agreed upon.Feel free to call me at home (713)463-8626Phillip"
528,"Lucy,Here is a schedule of the most recent utility bills and the overages.  Thereare alot of overages.  It will probably get worse this month because of allthe cold weather.You need to be very clear with all new tenants about the electricity cap.This needs to be handwritten on all new leases.I am going to fax you copies of the bills that support this spreadsheet.  Wealso need to write a short letter remind everyone about the cap and the needto conserve energy if they don't want to exceed their cap.  I will writesomething today.Wait until you have copies of the bills and the letter before you startcollecting.Phillip"
529,We do not understand our VAR.  Can you please get us all the detailed reportsand component VAR reports that you can produce?The sooner the better.Phillip
530,"Ted,Andrea in the analysts pool asked me to fill out this request.  Can you helpexpedite this process?Phillip"
531,"Frank,Did you receive the information about the San Marcos apartments.  I have leftseveral messages at your office to follow up.  You mentioned that your platewas fairly full.  Are you too busy to look at this project?  As I mentioned Iwould be interested in speaking to you as an advisor or at least a soundingboard for the key issues.Please email or call.Phillip Allenpallen@enron.com713-853-7041"
532,"Please respond to <cbpres@austin.rr.com><retwell@mail.sanmarcos.net>Enclosed is the cost breakdown for the appraiser.  Note that theconstruction management fee (CMF) is stated at 12.5% rather than ourstandard rate of 10%.  This will increase cost and with a loan to cost ratioof 75%, this will increase the loan amount and reduce required cash equity.Also, we are quite confident that the direct unit and lot improvement costsare high.  Therefore, we should have some additional room once we haveactual bids, as The Met project next door is reported to have cost $49 psfwithout overhead or CMF, which is $54-55 with CMF.It appears that the cash equity will be $1,784,876.  However, I am fairlysure that we can get this project done with $1.5MM.I hope to finish the proforma today.  The rental rates that we project are$1250 for the 3 ADA units, $1150-1200 for the 2 bedroom and $1425 for the 3bedroom.  Additional revenues could be generated by building detachedgarages, which would rent for $50-75 per month.- winmail.dat"
533,barry.tycholiz@enron.comThis request has been pending your approval for  2 days.  Please clickApproval to review and act upon this request.
534,"There were two deposits that were not labeled.  One for $150 and the otherfor $75.  Which apartments?  20a or #13?Utility overages for #26 and #44?  Where did you get these amounts?  Forwhat periods?What is going on with #42.   Do not evict this tenant for being unclean!!!That will just create an apartment that we will have to spend a lot of moneyand time remodeling.  I would rather try and deal with this tenant by firstasking them to clean their apartment and fixing anything that is wrong likeleaky pipes.  If that doesn't work, we should tell them we will clean theapartment and charge them for the labor.  Then we will perform monthlyinspections to ensure they are not damaging the property.  This tenant hasbeen here since September 1998, I don't want to run them off.I check with the bank and I did not see that a deposit was made on Tuesday soI couldn't check the total from the rentroll against the bank.  Is thisright?  Has the deposit been made yet?A rentroll for Jan 5th will follow shortly.Phillip"
535,cannot open this file. Please send in different format
536,I can't open a winmail.dat file.  can you send in a different format
537,"---------------------------Kristian J LandeVickers/HOU/ECT@ECT, Elliot Mainzer/PDX/ECT@ECT, Michael McDonald/SF/ECT@ECT,David Parquet/SF/ECT@ECT, Laird Dyer/SF/ECT@ECT, Jim Buerkle/PDX/ECT@ECT, JimGilbert/PDX/ECT@ECT, Terry W Donovan/HOU/ECT@ECT, Jeff GSlaughter/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Ed Clark/PDX/ECT@ECT, SajiJohn/HOU/ECT@ECT, Michael Etringer/HOU/ECT@ECTBadeer/HOU/ECT@ECT, Matt Motley/PDX/ECT@ECT, Mike Swerzbin/HOU/ECT@ECT, ToddPerry/PDX/ECT@ECT, Jeffrey Oh/PDX/ECT@ECT"
538,"tori.kuykendall@enron.comcomments/suggestionsParquet/SF/ECT@ECT, Marty Sunde/HOU/EES@EES, William S Bradford/HOU/ECT@ECT,Scott Stoness/HOU/EES@EES, Dennis Benevides/HOU/EES@EES, RobertBadeer/HOU/ECT@ECT, Jeff Dasovich/NA/Enron@Enron, SandraMcCubbin/NA/Enron@Enron, Susan J Mara/NA/Enron@ENRON, RichardShapiro/NA/Enron@Enron, James D Steffes/NA/Enron@Enron, PaulKaufman/PDX/ECT@ECT, Mary Hain/HOU/ECT@ECT, Joe Hartsoe/Corp/Enron@ENRON,Mark Palmer/Corp/Enron@ENRON, Karen Denne/Corp/Enron@ENRONWe met with Gov Davis on Thursday evening in LA.  In attendance were Ken Lay,the Governor, the Governor's staff director (Kari Dohn) and myself.  The gov.spent over an hour and a half with us covering our suggestions and hisideas.  He would like some additional thoughts from us by Tuesday of nextweek as he prepares his state of the state address for the following Monday.Attached to the end of this memo is a list of solutions we proposed (based onmy discussions with several of you) as well as some background materials JeffDasovich and I prepared.  Below are my notes from the meeting regarding ourproposals, the governor's ideas, as well as my overview of the situationwe are different from the generators and in opening a channel for ongoingcommunication with his administration. The gov does not want the utilities togo bankrupt and seems predisposed to both rate relief (more modest than whatthe utilities are looking for) and credit guarantees.  His staff has morework to do on the latter, but he was clearly intrigued with the idea.  Hetalked mainly in terms of raising rates but not uncapping them at the retaillevel.  He also wants to use what generation he has control over for thebenefit of California consumers, including utility-owned generation (which hewould dedicate to consumers on a cost-plus basis) and excess muni power(which he estimates at 3000MW).  He foresees a mix of market orientedsolutions as well as interventionist solutions which will allow him to fixthe problem by '02 and provide some political cover.included the forward price information several of you provided).  He seemedinterested in 1) the buy down of significant demand, 2) the state setting agoal of x000 MW of new generation by a date certain, 3) getting the utilitiesto gradually buy more power forward and 4) setting up a group of rateanalysts and other ""nonadvocates"" to develop solutions to a number of issuesincluding designing the portfolio and forward purchase terms for utilities.He was also quite interested in examining the incentives surrounding LDC gaspurchases.   As already mentioned, he was also favorably disposed to findingsome state sponsored credit support for the utilities.under serious consideration and some of which were mere ""brainstorming"".Some of these ideas would require legislative action.State may build (or make build/transfer arrangements) a ""couple"" ofgeneration plants.  The gov feels strongly that he has to show consumers thatthey are getting something in return for bearing some rate increases.  Thiswas a frequently recurring theme.Utilities would sell the output from generation they still own on a cost-plusbasis to consumers.Municipal utilties would be required to sell their excess generation inCalifornia.State universities (including UC/CSU and the community colleges) would morewidely deploy distributed generation.Expand in-state gas production.Take state lands gas royalties in kind.negotiate directly with tribes and state governments in the west foraddtional gas supplies.Empower an existing state agency to approve/coordinate power plantmaintenance schedules to avoid having too much generation out of service atany one time.Condition emissions offsets on commitments to sell power longer term in state.Either eliminate the ISO or sharply curtail its function -- he wants to hearmore about how Nordpool works(Jeff- someone in Schroeder's group should beable to help out here).Wants to condition new generation on a commitment to sell in state.  We madesome headway with the idea that he could instead require utilities to buysome portion of their forward requirements from new in-state generationthereby accomplishing the same thing without using a command and controlapproach with generators.Securitize uncollected power purchase costs.thoughts and get them to Kari)He wants to see 5 year fixed power prices for peak/ off-peak and baseload --not just the 5 one year strips.He wants comments on his proposals by Tuesday.He would like thoughts on how to pitch what consumers are getting out of thedeal.He wants to assemble a group of energy gurus to help sort through some of theforward contracting issues.Thanks to everyone for their help.  We made some progress today."
539,"Trading ProfitsP. Allen  200M. Grigsby 463Rest of Desk 282Total  945I view my bonus as partly attributable to my own trading and partly to thegroup's performance.  Here are my thoughts.Minimum  Market   MaximumCash  2 MM   4 MM   6 MMEquity  2 MM   4 MM   6 MMHere are Mike's numbers.  I have not made any adjustments to them.Minimum  Market   MaximumCash  2 MM   3 MM   4 MMEquity  4 MM   7 MM   12 MMI have given him an ""expectations"" speech, but you might do the same at somepoint.Phillip"
540,"Hunter S ShivelyLarry,I was able to scan my 98 & 99 tax returns into Adobe.  Here they are plus theexcel file is a net worth statement.  If you have any trouble downloading orprinting these files let me know and I can fax them to you.   Let's talklater today.PhillipP.S.  Please remember to get Jim Murnan the info. he needs."
